,China,Forecast
1990-01-01,2173.36,
1991-01-01,2302.19,
1992-01-01,2418.18,
1993-01-01,2645.41,
1994-01-01,2767.67,
1995-01-01,3088.62,
1996-01-01,3070.51,
1997-01-01,3134.11,
1998-01-01,3236.28,
1999-01-01,3153.66,
2000-01-01,3346.53,
2001-01-01,3529.08,
2002-01-01,3796.16,
2003-01-01,4424.41,
2004-01-01,5113.22,
2005-01-01,5824.63,
2006-01-01,6437.47,
2007-01-01,6993.18,
2008-01-01,7199.6,
2009-01-01,7719.07,
2010-01-01,8474.92,
2011-01-01,9282.55,
2012-01-01,9540.54,
2013-01-01,9979.13,
2014-01-01,10021.04,
2015-01-01,9859.28,
2016-01-01,9860.91,
2017-01-01,10089.27,
2018-01-01,10567.26,
2019-01-01,10762.82,
2020-01-01,10944.69,
2021-01-01,,10931.226668901236
2022-01-01,,10823.299322271972
2023-01-01,,10770.945677078178
2024-01-01,,10882.623639435224
2025-01-01,,11124.031901393972
2026-01-01,,11418.000136891416
2027-01-01,,11641.759135801827
2028-01-01,,11719.904196417672
2029-01-01,,11671.321058245334
2030-01-01,,11592.064122808008
